Wall time,Step,Value
1680898622.0999367,13049,-0.9802942276000977
1680898628.950116,13099,-0.980202317237854
1680898635.9569178,13149,-0.972324788570404
1680898642.8271968,13199,-0.9724857807159424
1680898663.7001884,13349,-0.9815025329589844
1680898709.3341365,13499,-0.9573817849159241
1680898716.2031653,13549,-0.9801621437072754
1680898737.0031083,13699,-0.9836334586143494
1680898831.0464938,14199,-0.9704145193099976
1680898837.9178998,14249,-0.9742200374603271
1680898844.8259509,14299,-0.9811437129974365
1680898851.7995903,14349,-0.975807249546051
1680898865.6049333,14449,-0.9758073091506958
1680898879.4987304,14549,-0.9691913723945618
1680898918.1441772,14649,-0.9793843626976013
1680898925.0142689,14699,-0.9757043123245239
1680898938.8501322,14799,-0.9814461469650269
1680898952.712509,14899,-0.9711399078369141
1680898959.6485548,14949,-0.9701843857765198
1680898966.587171,14999,-0.973953366279602
1680898980.4297054,15099,-0.9796461462974548
1680899019.3116777,15199,-0.9747823476791382
1680899026.332493,15249,-0.9761056900024414
1680899046.8628273,15399,-0.9743224382400513
1680899060.7235382,15499,-0.9788174629211426
1680899081.5455577,15649,-0.9794737100601196
1680899127.278743,15799,-0.9778913259506226
1680899134.194777,15849,-0.979077935218811
1680899141.1074817,15899,-0.9801441431045532
1680899168.6890588,16099,-0.9732199907302856
1680899189.4302406,16249,-0.9799455404281616
1680899196.3507543,16299,-0.9768770933151245
1680899235.5300024,16399,-0.9834305047988892
1680899249.4473898,16499,-0.9805142283439636
1680899270.2666142,16649,-0.9752366542816162
1680899277.2164178,16699,-0.9800796508789062
1680899284.1141915,16749,-0.9807101488113403
1680899298.0543158,16849,-0.9817863702774048
1680899336.9099984,16949,-0.9744914770126343
1680899351.0421422,17049,-0.978100597858429
1680899364.7486987,17149,-0.9789849519729614
1680899371.785548,17199,-0.9808262586593628
1680899378.6609776,17249,-0.9731848835945129
1680899406.4007764,17449,-0.9764251112937927
1680899445.7472634,17549,-0.9701696038246155
1680899459.485046,17649,-0.9767847657203674
1680899480.33556,17799,-0.9815149903297424
1680899487.2191126,17849,-0.9721622467041016
1680899494.1251857,17899,-0.9816439151763916
1680899508.0202594,17999,-0.9823455214500427
1680899514.921774,18049,-0.979207456111908
1680899547.1004546,18099,-0.9789063334465027
1680899554.0158474,18149,-0.9821557402610779
